,height,v,ori,start_x,ball_d,g,unit,s_expect,pix_w,pix_h,scale,h0,id,rt,s,points,name,sex,age,exp_num,distance,est,g_inv,date
33,1.6,1.0,right,2.0,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0,33,2.952099600021029,0.56875,0.9973214285714286,tty,male,21,1,50,0.56875,9.892525057360224,20/10/18
34,1.6,1.7,right,2.0,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,34,2.66558349999832,0.74375,0.7723214285714287,tty,male,21,1,50,0.74375,16.718367346938773,20/10/18
35,1.6,2.4,left,2.0,0.05715,9.8,m,1.3714285714285712,3200,1800,800.0,-600.0,35,3.9875691999914125,-0.6925,0.3210714285714288,tty,male,21,1,50,0.6925,38.43553284937898,20/10/18
36,1.6,1.7,right,1.7,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,36,2.130479799991008,0.915,0.9435714285714287,tty,male,21,1,50,0.915,11.046015109438917,20/10/18
37,0.4,1.7,left,1.7,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0,37,3.145829999994021,-0.40625,0.9205357142857143,tty,male,21,1,50,0.40625,14.008804733727809,20/10/18
38,1.2,1.7,right,1.7,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,38,6.939944599987939,1.14125,0.7000318208191687,tty,male,21,1,50,1.14125,5.325341993284298,20/10/18
39,1.2,1.0,right,2.0,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0,39,4.393815900024492,0.5225,0.9723716593053935,tty,male,21,1,50,0.5225,8.79100753187885,20/10/18
40,1.6,1.7,right,2.0,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,40,2.7927361000038218,0.685,0.7135714285714287,tty,male,21,1,50,0.685,19.709094783952256,20/10/18
41,0.8,1.7,right,2.0,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,41,6.413053600001149,0.65125,0.9643462697044968,tty,male,21,1,50,0.65125,10.902406047723078,20/10/18
42,1.6,1.0,left,2.0,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0,42,4.173958200000925,-0.4925,0.9210714285714285,tty,male,21,1,50,0.4925,13.192816099358398,20/10/18
43,0.8,1.0,right,2.0,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0,43,3.151685400021961,0.46625,0.9378110178208843,tty,male,21,1,50,0.46625,7.360075900782727,20/10/18
44,0.8,1.0,left,2.0,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0,44,3.2178272000164725,-0.45,0.9540610178208843,tty,male,21,1,50,0.45,7.901234567901234,20/10/18
45,1.2,1.0,left,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0,45,2.843892800010508,-0.51375,0.9811216593053934,tty,male,21,1,50,0.51375,9.093007974141758,20/10/18
46,0.8,2.4,left,1.7,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,46,2.5217777999932878,-0.7625,0.7927535572298777,tty,male,21,1,50,0.7625,15.851222789572697,20/10/18
47,1.2,2.4,left,1.7,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0,47,2.7938071000098716,-1.2825,0.9051919823329442,tty,male,21,1,50,1.2825,8.404637324304915,20/10/18
48,0.8,2.4,left,1.7,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,48,36.13914040001691,-1.1225,0.8472464427701222,tty,male,21,1,50,1.1225,7.314249433286539,20/10/18
49,1.2,2.4,right,1.7,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0,49,7.074008999974467,1.12125,0.9335580176670559,tty,male,21,1,50,1.12125,10.995850158275633,20/10/18
50,0.8,1.7,left,2.0,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,50,5.982479800004512,-0.635,0.9480962697044968,tty,male,21,1,50,0.635,11.46754293508587,20/10/18
51,1.2,2.4,right,2.0,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0,51,3.674569700000575,1.0025,0.8148080176670558,tty,male,21,1,50,1.0025,13.755138338691925,20/10/18
52,1.6,2.4,right,1.7,0.05715,9.8,m,1.3714285714285712,3200,1800,800.0,-600.0,52,6.342216099990765,1.02125,0.6498214285714288,tty,male,21,1,50,1.02125,17.672920452621693,20/10/18
53,0.8,1.0,right,1.7,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0,53,1.934229200007394,0.4225,0.9815610178208842,tty,male,21,1,50,0.4225,8.963271594131859,20/10/18
54,1.2,1.7,left,1.7,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,54,3.645782000006875,-0.5975,0.7562181791808312,tty,male,21,1,50,0.5975,19.428231298471662,20/10/18
55,0.8,1.7,right,1.7,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,55,2.772362299991073,0.6175,0.9305962697044968,tty,male,21,1,50,0.6175,12.126735399695123,20/10/18
56,1.2,1.7,right,2.0,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,56,2.7538844000082463,0.68625,0.8449681791808312,tty,male,21,1,50,0.68625,14.728020145918556,20/10/18
57,1.6,1.0,right,1.7,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0,57,2.3565128999762237,0.47625,0.9048214285714287,tty,male,21,1,50,0.47625,14.108472661389769,20/10/18
58,1.6,1.7,left,2.0,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,58,3.2734344999771565,-0.46625,0.49482142857142875,tty,male,21,1,50,0.46625,42.541238706524155,20/10/18
59,1.2,1.7,right,1.7,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,59,3.891268899984425,0.68375,0.8424681791808312,tty,male,21,1,50,0.68375,14.835917368795725,20/10/18
60,0.8,2.4,right,2.0,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,60,1.5805328999995254,0.78125,0.8115035572298778,tty,male,21,1,50,0.78125,15.0994944,20/10/18
61,0.4,1.7,left,1.7,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0,61,2.565937900013523,-0.40125,0.9155357142857143,tty,male,21,1,50,0.40125,14.360109082792285,20/10/18
62,1.6,2.4,left,2.0,0.05715,9.8,m,1.3714285714285712,3200,1800,800.0,-600.0,62,30.936786600010237,-1.22625,0.8548214285714288,tty,male,21,1,50,1.22625,12.257853341937171,20/10/18
63,0.8,1.7,left,1.7,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,63,16.17389710000134,-0.90125,0.7856537302955032,tty,male,21,1,50,0.90125,5.692817611538913,20/10/18
64,1.6,1.7,left,1.7,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,64,3.652809499995783,-0.66375,0.6923214285714286,tty,male,21,1,50,0.66375,20.99127184255979,20/10/18
65,1.6,1.7,left,1.7,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,65,3.1290881000168156,-0.665,0.6935714285714287,tty,male,21,1,50,0.665,20.912431454576286,20/10/18
66,0.4,1.7,right,2.0,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0,66,3.7554959999979474,0.42,0.9342857142857144,tty,male,21,1,50,0.42,13.106575963718821,20/10/18
67,0.4,2.4,right,1.7,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0,67,2.9420902999991085,0.6025,0.9167857142857144,tty,male,21,1,50,0.6025,12.693996315490434,20/10/18
68,0.4,1.0,right,1.7,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0,68,2.2099184000107925,0.23875,0.9530357142857143,tty,male,21,1,50,0.23875,14.034702996080153,20/10/18
69,1.2,2.4,right,2.0,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0,69,4.847987800021656,0.905,0.7173080176670559,tty,male,21,1,50,0.905,16.878605659167913,20/10/18
70,0.4,1.7,right,2.0,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0,70,3.80523450000328,0.39875,0.9130357142857144,tty,male,21,1,50,0.39875,14.540737610675995,20/10/18
71,0.4,1.0,left,1.7,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0,71,4.030026199994609,-0.295,0.9907142857142857,tty,male,21,1,50,0.295,9.192760700948005,20/10/18
72,0.8,1.7,left,2.0,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,72,29.556667800003197,-0.48625,0.7993462697044968,tty,male,21,1,50,0.48625,19.556836129816745,20/10/18
